Server_ID,CPU_Usage,RAM_Usage,Disk_Usage,Network_Traffic,Active_Users,Running_Processes,Server_Uptime,Response_Time,Error_Count,Server_Status
S077,92.0,99.0,99,754.0,147.0,240,367,472.0,9.0,Warning
S078,76.0,80.0,76,632.0,94.0,167,398,347.0,5.0,Warning
S079,54.0,62.0,62,553.0,69.0,146,164,367.0,5.0,Warning
S080,94.0,99.0,90,846.0,124.0,259,372,517.0,10.0,Warning
S081,96.0,94.0,99,744.0,123.0,203,617,458.0,12.0,Warning
S082,67.0,59.0,65,537.0,85.0,214,89,425.0,7.0,Warning
S083,38.0,29.0,39,361.0,37.0,137,89,247.0,4.0,Normal
S084,40.0,32.0,47,193.0,58.0,109,338,218.0,0.0,Critical
S085,74.0,73.0,64,502.0,118.0,197,311,306.0,10.0,Warning
S086,55.0,58.0,80,628.0,88.0,173,265,414.0,4.0,Warning
S087,43.0,46.0,31,569.0,78.0,144,196,222.0,7.0,Normal
S088,29.0,37.0,25,301.0,31.0,65,385,128.0,0.0,Normal
S089,59.0,59.0,73,497.5,58.0,137,217,352.0,8.0,Warning
S090,79.0,94.0,88,701.0,94.0,183,141,503.0,7.0,Warning
S091,85.0,82.0,92,950.0,104.0,198,402,491.0,6.0,Warning
S092,56.0,50.0,31,382.0,48.0,110,620,220.0,0.0,Normal
S093,15.0,21.0,25,213.0,5.0,85,620,144.0,0.0,Normal
S094,22.0,20.0,25,188.0,53.0,59,412,201.0,0.0,Normal
S095,77.0,66.0,78,514.0,91.0,195,606,407.0,8.0,Warning
S096,25.0,30.0,25,313.0,27.0,113,394,180.0,0.0,Normal
S097,95.0,93.0,99,717.0,99.0,230,219,463.0,9.0,Warning
S098,22.0,29.0,25,146.0,5.0,119,405,138.0,4.0,Normal
S099,49.0,54.0,39,405.0,74.0,159,240,255.0,7.0,Normal
S100,49.0,48.0,45,366.0,62.0,150,471,259.0,4.0,Normal
S101,47.0,39.0,52,601.0,40.0,133,56,196.0,3.0,Normal
S102,19.0,20.0,25,332.0,7.0,50,182,134.0,0.0,Normal
S103,55.0,51.0,45,504.0,63.0,159,606,255.0,5.0,Normal
S104,42.0,51.0,45,547.0,78.0,132,80,302.5,0.0,Normal
S105,21.0,23.0,25,274.0,25.0,97,584,161.0,0.0,Normal
S106,87.0,75.0,81,651.0,83.0,171,475,456.0,4.0,Warning
S107,86.0,88.0,80,859.0,100.0,174,443,469.0,9.0,Warning
S108,26.0,30.0,29,351.0,31.0,126,412,124.0,1.0,Normal
S109,48.0,39.0,31,363.0,20.0,136,486,187.0,1.0,Normal
S110,47.0,49.0,30,432.0,58.0,152,600,292.0,6.0,Normal
S111,62.0,63.0,53,475.0,73.0,161,131,286.0,2.0,Normal
S112,37.0,26.0,34,255.0,58.0,119,405,208.0,0.0,Normal
S113,76.0,80.0,80,735.0,120.0,208,307,439.0,7.0,Normal
S114,51.0,57.0,69,649.0,81.0,129,638,283.0,6.0,Normal
S115,58.0,69.0,68,400.0,68.0,156,573,321.0,8.0,Warning
S116,49.0,60.0,47,514.0,45.0,127,344,224.0,2.0,Normal
S117,79.0,65.0,79,614.0,134.0,178,273,401.0,10.0,Warning
S118,61.0,52.0,49,503.0,76.0,151,574,325.0,4.0,Warning
S119,92.0,97.0,92,711.0,111.0,217,95,405.0,8.0,Warning
S120,17.0,22.0,25,161.0,70.0,72,162,155.0,0.0,Normal
S121,15.0,20.0,25,229.0,25.0,112,282,138.0,0.0,Normal
S122,19.0,58.0,25,178.0,25.0,65,66,188.0,0.0,Normal
S123,28.0,34.0,34,340.0,29.0,98,409,194.0,3.0,Normal
S124,41.0,52.0,59,402.0,44.0,114,272,298.0,5.0,Normal
S125,23.0,33.0,25,259.0,31.0,130,497,173.0,0.0,Normal
S126,93.0,99.0,98,689.0,104.0,218,414,446.0,10.0,Warning
S127,29.0,26.0,37,271.0,28.0,130,375,184.0,1.0,Normal
S128,56.0,64.0,51,580.0,71.0,113,516,331.0,4.0,Warning
S129,91.0,83.0,94,802.0,106.0,216,463,453.0,7.0,Warning
S130,65.0,63.0,65,487.0,102.0,188,504,356.0,3.0,Warning
S131,77.0,72.0,78,668.0,54.0,188,635,339.0,7.0,Warning
S132,66.0,67.0,57,650.0,97.0,194,282,337.0,8.0,Warning
S133,18.0,41.0,25,100.0,44.0,73,273,117.0,0.0,Normal
S134,37.0,20.0,43,428.0,16.0,153,461,254.0,0.0,Normal
S135,29.0,36.0,46,263.0,33.0,162,621,151.0,2.0,Normal
S136,57.0,41.0,69,570.0,65.0,143,384,277.0,0.0,Normal
S137,43.0,38.0,69,352.0,33.0,117,271,214.0,5.0,Normal
S138,50.0,61.0,41,308.0,51.0,176,86,297.0,0.0,Normal
S139,27.0,28.0,37,163.0,19.0,140,327,155.0,0.0,Normal
S140,46.0,35.0,48,446.0,84.0,120,245,318.0,0.0,Warning
S141,85.0,78.0,99,738.0,117.0,189,533,419.0,5.0,Warning
S142,73.0,80.0,63,550.0,108.0,172,291,399.0,9.0,Warning
S143,42.0,35.0,32,471.0,64.0,93,373,216.0,1.0,Normal
S144,80.0,82.0,73,530.0,80.0,168,241,462.0,8.0,Warning
S145,56.0,56.0,31,506.0,62.0,125,66,246.0,4.0,Normal
S146,59.0,52.0,53,424.0,80.0,136,573,322.0,5.0,Warning
S147,76.0,97.0,67,593.0,74.0,183,450,407.0,7.0,Warning
S148,71.0,77.0,73,621.0,97.0,182,71,396.0,3.0,Warning
S149,20.0,20.0,25,183.0,24.0,128,523,139.0,1.0,Normal
S150,42.0,44.0,65,379.0,48.0,101,169,245.0,0.0,Normal
